Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01 00:00:00+05:30,15.98041778497052,18.689427311028226,15.706780501281596,17.950605392456055,4234175,0.0,0.0
2002-07-02 00:00:00+05:30,18.57997132466572,19.783975747966906,17.813786122286768,18.880971908569336,7207954,0.0,0.0
2002-07-03 00:00:00+05:30,18.880976210159627,19.89343351968751,18.49788352169141,18.662065505981445,3360296,0.0,0.0
2002-07-04 00:00:00+05:30,18.85361424034462,20.41334633400699,18.826250922290203,20.167072296142578,6018555,0.0,0.0
2002-07-05 00:00:00+05:30,20.495433538813785,20.90588947582199,18.93569972557049,19.017791748046875,5074650,0.0,0.0
2002-07-08 00:00:00+05:30,19.373522298745176,19.373522298745176,18.196881035792096,18.36106300354004,2521807,0.0,0.0
2002-07-09 00:00:00+05:30,18.361060597536888,18.607334560730962,17.923241378351147,18.08742332458496,1143977,0.0,0.0
2002-07-10 00:00:00+05:30,18.25160549221357,18.85360875262223,17.813786267717017,17.977968215942383,1456312,0.0,0.0
2002-07-11 00:00:00+05:30,18.251607235893157,18.36106257439587,16.445601457502686,17.485424041748047,1169168,0.0,0.0
2002-07-12 00:00:00+05:30,17.704331900991537,18.278971882512568,17.64960527784042,17.923242568969727,1269548,0.0,0.0
2002-07-15 00:00:00+05:30,18.060062830236134,18.169518174017398,16.992876881821136,17.29387855529785,788912,0.0,0.0
2002-07-16 00:00:00+05:30,17.348604539001947,17.759060472475085,16.746602294472662,17.18442153930664,1179003,0.0,0.0
2002-07-17 00:00:00+05:30,17.1023293463722,17.18442031846612,16.254054228329476,16.746601104736328,952265,0.0,0.0
2002-07-18 00:00:00+05:30,16.746599098189478,17.649601770713133,16.609780479811857,17.45805549621582,1298065,0.0,0.0
2002-07-19 00:00:00+05:30,17.594878888739913,18.196880102157593,17.129694235019997,17.512786865234375,3075627,0.0,0.0
2002-07-22 00:00:00+05:30,17.239149570465088,17.239149570465088,16.308782350712136,16.418237686157227,831364,0.0,0.0
2002-07-23 00:00:00+05:30,16.390874261381537,16.74660253336406,16.144600280247175,16.472965240478516,627307,0.0,0.0
2002-07-24 00:00:00+05:30,16.28141723215058,16.801328452059103,15.870961335541741,16.06250762939453,660931,0.0,0.0
2002-07-25 00:00:00+05:30,16.445604649871523,16.609787689496287,15.378419589607093,15.542601585388184,926270,0.0,0.0
